day,month,year,province,health_zone,confirmed_cases
31,7,2019,North Kivu,Alimbongo,5
1,8,2019,North Kivu,Alimbongo,5
2,8,2019,North Kivu,Alimbongo,5
3,8,2019,North Kivu,Alimbongo,5
4,8,2019,North Kivu,Alimbongo,5
6,8,2019,North Kivu,Alimbongo,5
7,8,2019,North Kivu,Alimbongo,5
8,8,2019,North Kivu,Alimbongo,5
9,8,2019,North Kivu,Alimbongo,5
10,8,2019,North Kivu,Alimbongo,5
11,8,2019,North Kivu,Alimbongo,5
12,8,2019,North Kivu,Alimbongo,5
13,8,2019,North Kivu,Alimbongo,5
14,8,2019,North Kivu,Alimbongo,5
15,8,2019,North Kivu,Alimbongo,5
16,8,2019,North Kivu,Alimbongo,5
17,8,2019,North Kivu,Alimbongo,5
18,8,2019,North Kivu,Alimbongo,5
19,8,2019,North Kivu,Alimbongo,5
20,8,2019,North Kivu,Alimbongo,5
21,8,2019,North Kivu,Alimbongo,5
22,8,2019,North Kivu,Alimbongo,5
23,8,2019,North Kivu,Alimbongo,5
24,8,2019,North Kivu,Alimbongo,5
25,8,2019,North Kivu,Alimbongo,5
26,8,2019,North Kivu,Alimbongo,5
27,8,2019,North Kivu,Alimbongo,5
28,8,2019,North Kivu,Alimbongo,5
29,8,2019,North Kivu,Alimbongo,5
30,8,2019,North Kivu,Alimbongo,5
31,8,2019,North Kivu,Alimbongo,5
1,9,2019,North Kivu,Alimbongo,5
2,9,2019,North Kivu,Alimbongo,5
3,9,2019,North Kivu,Alimbongo,5
4,9,2019,North Kivu,Alimbongo,5
5,9,2019,North Kivu,Alimbongo,5
6,9,2019,North Kivu,Alimbongo,5
7,9,2019,North Kivu,Alimbongo,5
8,9,2019,North Kivu,Alimbongo,5
9,9,2019,North Kivu,Alimbongo,5
10,9,2019,North Kivu,Alimbongo,5
11,9,2019,North Kivu,Alimbongo,5
12,9,2019,North Kivu,Alimbongo,5
13,9,2019,North Kivu,Alimbongo,5
14,9,2019,North Kivu,Alimbongo,5
15,9,2019,North Kivu,Alimbongo,5
